time(s),acceleration(m/s2),,
0.04082,-0.467085,,
0.040859,0.915847,,
0.040898,-0.416384,,
0.040937,0.722566,,
0.040977,-0.58839,,
0.041016,-1.022528,,
0.041055,-0.454328,,
0.041094,0.0484,,
0.041133,0.196555,,
0.041172,-0.745039,,
0.041211,0.537652,,
0.04125,-0.579599,,
0.041289,-1.904219,,
0.041328,0.31049,,
0.041367,-1.12451,,
0.041406,-0.433367,,
0.041445,1.431677,,
0.041484,-1.87047,,
0.041523,-0.420151,,
0.041562,0.059071,,
0.041602,-0.579877,,
0.041641,1.246455,,
0.04168,-0.545168,,
0.041719,0.136997,,
0.041758,1.025211,,
0.041797,0.893906,,
0.041836,1.767055,,
0.041875,-0.570555,,
0.041914,0.363059,,
0.041953,2.168726,,
0.041992,1.822254,,
0.042031,0.10323,,
0.04207,-0.252607,,
0.042109,0.436401,,
0.042148,0.266137,,
0.042187,0.946735,,
0.042227,1.352699,,
0.042266,0.745625,,
0.042305,-0.224862,,
0.042344,0.826597,,
0.042383,-0.088685,,
0.042422,0.730909,,
0.042461,0.790213,,
0.0425,-2.571178,,
0.042539,-0.34997,,
0.042578,1.30519,,
0.042617,1.769189,,
0.042656,1.121661,,
0.042695,-0.263205,,
0.042734,-0.788467,,
0.042773,-0.251664,,
0.042812,0.358325,,
0.042852,0.635868,,
0.042891,0.28104,,
0.04293,0.106175,,
0.042969,-0.234155,,
0.043008,-0.226658,,
0.043047,-0.027434,,
0.043086,-0.341989,,
0.043125,0.008884,,
0.043164,0.916566,,
0.043203,-0.167233,,
0.043242,0.706768,,
0.043281,-0.452001,,
0.04332,-0.998731,,
0.043359,0.120697,,
0.043398,0.311687,,
0.043437,-0.109609,,
0.043477,0.291608,,
0.043516,-0.215515,,
